timestamp_logger,id_publicador,modelo,timestamp_envio,timestamp_recebido,latencia_ms,tempo_inferencia_ms,resultado
1771774986.2169902,esp32,MobileNetV3-32x32,1771774985.868451,256.739975,-1771774729128.476,117.354,1
1771775127.76547,esp32,MobileNetV3-32x32,1771775127.04824,397.975582,-1771774729072.658,117.348,1
1771775268.7008214,esp32,MobileNetV3-32x32,1771775268.430976,539.292925,-1771774729138.051,116.219,1
1771775410.4760973,esp32,MobileNetV3-32x32,1771775410.106701,680.986661,-1771774729120.04,117.506,0
1771775554.4053032,esp32,MobileNetV3-32x32,1771775554.046249,824.912025,-1771774729134.224,117.083,0
1771775706.090491,esp32,MobileNetV3-32x32,1771775705.753837,976.595366,-1771774729158.471,116.86,0
1771775849.5536714,esp32,MobileNetV3-32x32,1771775849.216188,1120.058682,-1771774729157.506,116.674,0
1771775986.7219942,esp32,MobileNetV3-32x32,1771775986.385418,1257.225543,-1771774729159.875,117.292,1
1771776130.0338514,esp32,MobileNetV3-32x32,1771776129.62542,1400.536092,-1771774729089.328,116.796,1
1771776273.3457475,esp32,MobileNetV3-32x32,1771776272.979594,1543.847713,-1771774729131.881,117.041,0
1771776428.3315308,esp32,MobileNetV3-32x32,1771776427.926782,1698.831659,-1771774729095.123,116.896,0
1771776573.3329384,esp32,MobileNetV3-32x32,1771776572.935508,1843.835246,-1771774729100.262,116.953,0
1771776720.7192562,esp32,MobileNetV3-32x32,1771776720.433773,1991.291181,-1771774729142.592,116.183,1
1771776869.3261898,esp32,MobileNetV3-32x32,1771776868.958949,2139.824624,-1771774729134.325,116.69,1
1771777017.706849,esp32,MobileNetV3-32x32,1771777017.273016,2288.204856,-1771774729068.16,117.416,1
1771777166.4715152,esp32,MobileNetV3-32x32,1771777166.162401,2436.9776,-1771774729184.801,117.947,1
1771777314.775114,esp32,MobileNetV3-32x32,1771777314.405051,2585.272018,-1771774729133.033,117.073,2
1771777468.6085496,esp32,MobileNetV3-32x32,1771777468.240619,2739.104234,-1771774729136.385,116.647,2
1771777641.0350828,esp32,MobileNetV3-32x32,1771777640.662887,2911.523389,-1771774729139.498,116.713,1
1771779201.616117,esp32,MobileNetV3-32x32,1771779201.276871,252.997681,-1771778948279.19,119.501,1
1771779348.0734859,esp32,MobileNetV3-32x32,1771779347.707984,399.460153,-1771778948247.831,119.504,0
1771779481.629078,esp32,MobileNetV3-32x32,1771779481.19993,532.937603,-1771778948262.327,119.788,2
1771779626.8595495,esp32,MobileNetV3-32x32,1771779626.321718,678.238806,-1771778948082.912,119.304,1
1771779764.485602,esp32,MobileNetV3-32x32,1771779764.071864,815.873194,-1771778948198.67,119.528,1
1771779911.481473,esp32,MobileNetV3-32x32,1771779911.048733,962.804112,-1771778948244.621,118.865,2
1771780058.0175421,esp32,MobileNetV3-32x32,1771780057.506801,1109.407536,-1771778948099.265,119.54,0
1771780212.5403721,esp32,MobileNetV3-32x32,1771780212.130485,1263.931197,-1771778948199.288,119.807,1
1771780359.2299685,esp32,MobileNetV3-32x32,1771780358.680324,1410.618357,-1771778948061.967,121.042,2
1771780511.910589,esp32,MobileNetV3-32x32,1771780511.420656,1563.225978,-1771778948194.678,120.092,1
1771780663.0556703,esp32,MobileNetV3-32x32,1771780662.690875,1714.448054,-1771778948242.821,119.642,1
1771780811.963961,esp32,MobileNetV3-32x32,1771780811.621199,1863.369516,-1771778948251.683,120.99,2
1771780964.637679,esp32,MobileNetV3-32x32,1771780964.304088,2016.045959,-1771778948258.129,119.644,2
